Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
LANGLEY,1502,0.065,0.023,0,0.088,20230401,20230630
OAK HARBOR,1503,0.065,0.025,0,0.09,20230401,20230630
JEFFERSON COUNTY,1600,0.065,0.026,0,0.091,20230401,20230630
PORT TOWNSEND,1601,0.065,0.026,0,0.091,20230401,20230630
SUQUAMISH TRIBE - JEFFERSON COUNTY,1603,0.065,0.026,0,0.091,20230401,20230630
KING COUNTY RTA,1700,0.065,0.036,0,0.101,20230401,20230630
ALGONA,1701,0.065,0.036,0,0.101,20230401,20230630
AUBURN/KING RTA,1702,0.065,0.037,0,0.102,20230401,20230630
BEAUX ARTS VILLAGE,1703,0.065,0.036,0,0.101,20230401,20230630
BELLEVUE RTA,1704,0.065,0.036,0,0.101,20230401,20230630
BLACK DIAMOND,1705,0.065,0.022,0,0.087,20230401,20230630
BOTHELL/KING,1706,0.065,0.036,0,0.101,20230401,20230630
CARNATION,1707,0.065,0.022,0,0.087,20230401,20230630
CLYDE HILL,1708,0.065,0.036,0,0.101,20230401,20230630
DES MOINES,1709,0.065,0.036,0,0.101,20230401,20230630
DUVALL,1710,0.065,0.024,0,0.089,20230401,20230630
ENUMCLAW,1711,0.065,0.023,0,0.088,20230401,20230630
COVINGTON,1712,0.065,0.022,0,0.087,20230401,20230630
HUNTS POINT,1713,0.065,0.036,0,0.101,20230401,20230630
ISSAQUAH RTA,1714,0.065,0.036,0,0.101,20230401,20230630
KENT RTA,1715,0.065,0.036,0,0.101,20230401,20230630
KIRKLAND,1716,0.065,0.037,0,0.102,20230401,20230630
LAKE FOREST PARK,1717,0.065,0.037,0,0.102,20230401,20230630
MEDINA,1718,0.065,0.036,0,0.101,20230401,20230630
MERCER ISLAND,1719,0.065,0.036,0,0.101,20230401,20230630
MAPLE VALLEY,1720,0.065,0.022,0,0.087,20230401,20230630
NORMANDY PARK,1721,0.065,0.036,0,0.101,20230401,20230630
NORTH BEND,1722,0.065,0.025,0,0.09,20230401,20230630
PACIFIC/KING,1723,0.065,0.037,0,0.102,20230401,20230630
REDMOND RTA,1724,0.065,0.036,0,0.101,20230401,20230630
RENTON RTA,1725,0.065,0.036,0,0.101,20230401,20230630
SEATTLE,1726,0.065,0.0375,0,0.1025,20230401,20230630
SKYKOMISH,1727,0.065,0.022,0,0.087,20230401,20230630
SNOQUALMIE,1728,0.065,0.024,0,0.089,20230401,20230630
TUKWILA,1729,0.065,0.036,0,0.101,20230401,20230630
YARROW POINT,1730,0.065,0.036,0,0.101,20230401,20230630
MILTON/KING,1731,0.065,0.036,0,0.101,20230401,20230630
FEDERAL WAY,1732,0.065,0.036,0,0.101,20230401,20230630
SEATAC,1733,0.065,0.036,0,0.101,20230401,20230630
BURIEN,1734,0.065,0.036,0,0.101,20230401,20230630
WOODINVILLE RTA,1735,0.065,0.036,0,0.101,20230401,20230630
NEWCASTLE,1736,0.065,0.036,0,0.101,20230401,20230630
SHORELINE,1737,0.065,0.038,0,0.103,20230401,20230630
KENMORE,1738,0.065,0.036,0,0.101,20230401,20230630
SAMMAMISH RTA,1739,0.065,0.036,0,0.101,20230401,20230630
PUYALLUP TRIBE - FEDERAL WAY,1741,0.065,0.036,0,0.101,20230401,20230630
KITSAP COUNTY,1800,0.065,0.027,0,0.092,20230401,20230630
BREMERTON,1801,0.065,0.027,0,0.092,20230401,20230630
PORT ORCHARD,1802,0.065,0.028,0,0.093,20230401,20230630
POULSBO,1803,0.065,0.028,0,0.093,20230401,20230630
BAINBRIDGE ISLAND,1804,0.065,0.027,0,0.092,20230401,20230630
SUQUAMISH TRIBE - KITSAP COUNTY,1805,0.065,0.027,0,0.092,20230401,20230630
SUQUAMISH TRIBE - BREMERTON,1807,0.065,0.027,0,0.092,20230401,20230630
KITTITAS COUNTY,1900,0.065,0.016,0,0.081,20230401,20230630
CLE ELUM,1901,0.065,0.016,0,0.081,20230401,20230630
ELLENSBURG,1902,0.065,0.019,0,0.084,20230401,20230630
KITTITAS CITY,1903,0.065,0.016,0,0.081,20230401,20230630
