Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
NISQUALLY TRIBE - PIERCE COUNTY NON-RTA,4103,0.065,0.015,0,0.08,20230401,20230630
PUYALLUP TRIBE - PIERCE COUNTY NON RTA,4105,0.065,0.015,0,0.08,20230401,20230630
PIERCE-PTBA NON-RTA,4127,0.065,0.021,0,0.086,20230401,20230630
SNOHOMISH COUNTY NON-RTA,4200,0.065,0.014,0,0.079,20230401,20230630
STILLAGUAMISH TRIBE - SNOHOMISH COUNTY NON-RTA,4201,0.065,0.014,0,0.079,20230401,20230630
EVERETT NON-RTA,4205,0.065,0.02,0,0.085,20230401,20230630
SNOHOMISH-PTBA NON-RTA,4231,0.065,0.026,0,0.091,20230401,20230630
TULALIP TRIBES - SNOHOMISH-PTBA NON-RTA,4233,0.065,0.026,0,0.091,20230401,20230630
SAUK-SUIATTLE TRIBE - SNOHOMISH-PTBA NON-RTA,4235,0.065,0.026,0,0.091,20230401,20230630
STILLAGUAMISH TRIBE - SNOHOMISH-PTBA NON-RTA,4237,0.065,0.026,0,0.091,20230401,20230630
